"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 03 11:57:30 GMT 2024","Sun Mar 03 11:57:36 GMT 2024","6477","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"skipped","Sun Mar 03 11:40:25 GMT 2024","Sun Mar 03 11:40:25 GMT 2024","0","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
"failed","Sun Mar 03 11:44:49 GMT 2024","Sun Mar 03 11:44:57 GMT 2024","7706","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Sun Mar 03 11:49:22 GMT 2024","Sun Mar 03 11:49:29 GMT 2024","7676","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Sun Mar 03 12:00:28 GMT 2024","Sun Mar 03 12:00:35 GMT 2024","7522","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
"failed","Sun Mar 03 11:55:00 GMT 2024","Sun Mar 03 11:55:06 GMT 2024","6544","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"failed","Sun Mar 03 11:58:16 GMT 2024","Sun Mar 03 11:58:24 GMT 2024","7748","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Sun Mar 03 11:47:02 GMT 2024","Sun Mar 03 11:47:09 GMT 2024","7742","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Sun Mar 03 12:02:56 GMT 2024","Sun Mar 03 12:03:03 GMT 2024","7538","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
"passed","Sun Mar 03 11:52:33 GMT 2024","Sun Mar 03 11:52:41 GMT 2024","7705","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Sun Mar 03 11:55:42 GMT 2024","Sun Mar 03 11:55:49 GMT 2024","6366","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"failed","Sun Mar 03 11:59:08 GMT 2024","Sun Mar 03 11:59:15 GMT 2024","6954","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
