"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 03 18:35:01 GMT 2024","Sun Mar 03 18:35:08 GMT 2024","6502","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Sun Mar 03 18:40:36 GMT 2024","Sun Mar 03 18:40:41 GMT 2024","5755","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"failed","Sun Mar 03 18:40:59 GMT 2024","Sun Mar 03 18:41:06 GMT 2024","6626","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"failed","Sun Mar 03 18:35:59 GMT 2024","Sun Mar 03 18:36:06 GMT 2024","6861","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Sun Mar 03 18:34:48 GMT 2024","Sun Mar 03 18:34:54 GMT 2024","6140","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Sun Mar 03 18:39:59 GMT 2024","Sun Mar 03 18:40:06 GMT 2024","6493","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"failed","Sun Mar 03 18:42:22 GMT 2024","Sun Mar 03 18:42:27 GMT 2024","5686","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"failed","Sun Mar 03 18:42:49 GMT 2024","Sun Mar 03 18:42:55 GMT 2024","6631","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
"failed","Sun Mar 03 18:43:37 GMT 2024","Sun Mar 03 18:43:44 GMT 2024","6804","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
"passed","Sun Mar 03 18:30:17 GMT 2024","Sun Mar 03 18:30:21 GMT 2024","3128","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3> in section ""Najnoviji blog postovi"" Widget",""
"failed","Sun Mar 03 18:38:55 GMT 2024","Sun Mar 03 18:39:03 GMT 2024","7925","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Sun Mar 03 18:38:37 GMT 2024","Sun Mar 03 18:38:45 GMT 2024","8087","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Sun Mar 03 18:42:28 GMT 2024","Sun Mar 03 18:42:34 GMT 2024","6345","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"failed","Sun Mar 03 18:41:28 GMT 2024","Sun Mar 03 18:41:34 GMT 2024","5124","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
