"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Mar 07 14:48:10 GMT 2024","Thu Mar 07 14:48:21 GMT 2024","11393","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
"passed","Thu Mar 07 14:34:31 GMT 2024","Thu Mar 07 14:35:07 GMT 2024","35841","tests","UI Functional Tests","TestUIHomePage","","","Check ""Premijum oglasi"" Carousel",""
"failed","Thu Mar 07 14:46:44 GMT 2024","Thu Mar 07 14:46:52 GMT 2024","8479","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
"passed","Thu Mar 07 14:30:44 GMT 2024","Thu Mar 07 14:30:47 GMT 2024","2975","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3> in Carousel Added Values",""
"failed","Thu Mar 07 14:32:09 GMT 2024","Thu Mar 07 14:32:17 GMT 2024","8819","tests","UI Functional Tests","TestUIHomePage","","","Check Search Form: Subcategories dropdown",""
"passed","Thu Mar 07 14:42:07 GMT 2024","Thu Mar 07 14:42:20 GMT 2024","13828","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"failed","Thu Mar 07 14:36:23 GMT 2024","Thu Mar 07 14:36:32 GMT 2024","8999","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Thu Mar 07 14:45:51 GMT 2024","Thu Mar 07 14:46:08 GMT 2024","16943","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Thu Mar 07 14:40:08 GMT 2024","Thu Mar 07 14:40:15 GMT 2024","6759","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Thu Mar 07 14:38:23 GMT 2024","Thu Mar 07 14:38:32 GMT 2024","8822","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Thu Mar 07 14:38:47 GMT 2024","Thu Mar 07 14:38:57 GMT 2024","9387","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Thu Mar 07 14:42:54 GMT 2024","Thu Mar 07 14:43:04 GMT 2024","9392","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Thu Mar 07 14:39:39 GMT 2024","Thu Mar 07 14:39:46 GMT 2024","6732","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Thu Mar 07 14:40:01 GMT 2024","Thu Mar 07 14:40:08 GMT 2024","6763","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Thu Mar 07 14:37:42 GMT 2024","Thu Mar 07 14:37:51 GMT 2024","9129","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Thu Mar 07 14:36:05 GMT 2024","Thu Mar 07 14:36:13 GMT 2024","8547","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Thu Mar 07 14:38:04 GMT 2024","Thu Mar 07 14:38:13 GMT 2024","8491","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Thu Mar 07 14:46:33 GMT 2024","Thu Mar 07 14:46:43 GMT 2024","9964","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"failed","Thu Mar 07 14:33:09 GMT 2024","Thu Mar 07 14:33:18 GMT 2024","8523","tests","UI Functional Tests","TestUIHomePage","","","Check ""Popularni gradovi"" Quick Links",""
"passed","Thu Mar 07 14:39:05 GMT 2024","Thu Mar 07 14:39:12 GMT 2024","6942","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Thu Mar 07 14:35:58 GMT 2024","Thu Mar 07 14:36:04 GMT 2024","6561","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Thu Mar 07 14:40:16 GMT 2024","Thu Mar 07 14:40:24 GMT 2024","8577","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Thu Mar 07 14:32:27 GMT 2024","Thu Mar 07 14:32:36 GMT 2024","8638","tests","UI Functional Tests","TestUIHomePage","","","Check Search Form: Subcategories dropdown",""
