"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 28 09:42:24 GMT 2024","Wed Feb 28 09:42:32 GMT 2024","8384","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
"passed","Wed Feb 28 09:40:02 GMT 2024","Wed Feb 28 09:41:36 GMT 2024","93732","tests","UI Functional Tests","TestHomePage","","","Check Footer Links",""
"failed","Wed Feb 28 09:42:08 GMT 2024","Wed Feb 28 09:42:16 GMT 2024","7565","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
"passed","Wed Feb 28 09:41:57 GMT 2024","Wed Feb 28 09:41:59 GMT 2024","2736","tests","SEO Tests","TestSEO","","","Check Browser Page Title",""
"passed","Wed Feb 28 09:42:17 GMT 2024","Wed Feb 28 09:42:20 GMT 2024","2911","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"passed","Wed Feb 28 09:42:20 GMT 2024","Wed Feb 28 09:42:23 GMT 2024","2991","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
"passed","Wed Feb 28 09:41:36 GMT 2024","Wed Feb 28 09:41:56 GMT 2024","20433","tests","Performance Tests","TestPerformance","","","Performance tests for Home page",""
"failed","Wed Feb 28 09:42:33 GMT 2024","Wed Feb 28 09:42:47 GMT 2024","14434","tests","SEO Tests","TestSEO","","","Check if external links have an attribute rel=""nofollow""",""
"passed","Wed Feb 28 09:39:58 GMT 2024","Wed Feb 28 09:40:01 GMT 2024","3566","tests","UI Functional Tests","TestHomePage","","","Check the Home page is loading",""
