"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 29 14:48:02 GMT 2024","Thu Feb 29 14:48:08 GMT 2024","6160","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:44:03 GMT 2024","Thu Feb 29 14:44:07 GMT 2024","3674","tests","UI Functional Tests","TestUIHomePage","","","Check the Home page is loading",""
"failed","Thu Feb 29 14:43:56 GMT 2024","Thu Feb 29 14:44:03 GMT 2024","7057","tests","SEO Tests","TestSEO","","","Check if external links have an attribute rel=""nofollow""",""
"passed","Thu Feb 29 14:47:56 GMT 2024","Thu Feb 29 14:48:02 GMT 2024","6016","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:47:21 GMT 2024","Thu Feb 29 14:47:29 GMT 2024","7599","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 14:48:38 GMT 2024","Thu Feb 29 14:48:48 GMT 2024","10488","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:47:13 GMT 2024","Thu Feb 29 14:47:21 GMT 2024","7124","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:43:10 GMT 2024","Thu Feb 29 14:43:38 GMT 2024","27406","tests","Performance Tests","TestPerformance","","","Performance tests for Home page",""
"failed","Thu Feb 29 14:48:27 GMT 2024","Thu Feb 29 14:48:37 GMT 2024","10728","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:43:43 GMT 2024","Thu Feb 29 14:43:46 GMT 2024","3729","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
"passed","Thu Feb 29 14:47:07 GMT 2024","Thu Feb 29 14:47:13 GMT 2024","5852","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:44:08 GMT 2024","Thu Feb 29 14:45:43 GMT 2024","95028","tests","UI Functional Tests","TestUIHomePage","","","Check Footer Links",""
"failed","Thu Feb 29 14:48:15 GMT 2024","Thu Feb 29 14:48:26 GMT 2024","10627","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 14:46:38 GMT 2024","Thu Feb 29 14:46:49 GMT 2024","11405","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:43:51 GMT 2024","Thu Feb 29 14:43:55 GMT 2024","4011","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
"passed","Thu Feb 29 14:46:03 GMT 2024","Thu Feb 29 14:46:09 GMT 2024","6104","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:43:47 GMT 2024","Thu Feb 29 14:43:50 GMT 2024","3492","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
