"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Mar 02 14:21:39 GMT 2024","Sat Mar 02 14:21:49 GMT 2024","9811","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Sat Mar 02 14:19:45 GMT 2024","Sat Mar 02 14:19:53 GMT 2024","7665","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Sat Mar 02 14:22:01 GMT 2024","Sat Mar 02 14:22:12 GMT 2024","10232","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Sat Mar 02 14:22:47 GMT 2024","Sat Mar 02 14:22:57 GMT 2024","9504","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Sat Mar 02 14:22:35 GMT 2024","Sat Mar 02 14:22:46 GMT 2024","11740","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"skipped","Sat Mar 02 14:15:23 GMT 2024","Sat Mar 02 14:15:23 GMT 2024","0","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
"failed","Sat Mar 02 14:20:08 GMT 2024","Sat Mar 02 14:20:15 GMT 2024","6300","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Sat Mar 02 14:20:15 GMT 2024","Sat Mar 02 14:20:22 GMT 2024","6310","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Sat Mar 02 14:23:07 GMT 2024","Sat Mar 02 14:23:16 GMT 2024","9639","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Sat Mar 02 14:21:28 GMT 2024","Sat Mar 02 14:21:38 GMT 2024","9788","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Sat Mar 02 14:20:01 GMT 2024","Sat Mar 02 14:20:08 GMT 2024","6740","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Sat Mar 02 14:21:49 GMT 2024","Sat Mar 02 14:22:01 GMT 2024","11883","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
