"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Feb 28 07:29:26 GMT 2024","Wed Feb 28 07:34:27 GMT 2024","300525","tests","Performance Tests","TestPerformance","","","Performance tests for Home page",""
"passed","Wed Feb 28 07:34:57 GMT 2024","Wed Feb 28 07:35:01 GMT 2024","4074","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
"passed","Wed Feb 28 07:34:53 GMT 2024","Wed Feb 28 07:34:57 GMT 2024","3545","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"failed","Wed Feb 28 07:35:06 GMT 2024","Wed Feb 28 07:35:11 GMT 2024","4908","tests","SEO Tests","TestSEO","","","Check if external links have an attribute rel=""nofollow""",""
"passed","Wed Feb 28 07:27:51 GMT 2024","Wed Feb 28 07:29:15 GMT 2024","83660","tests","UI Functional Tests","TestHomePage","","","Check Footer Links",""
"failed","Wed Feb 28 07:34:46 GMT 2024","Wed Feb 28 07:34:48 GMT 2024","2650","tests","SEO Tests","TestSEO","","","Check Browser Page Title",""
"failed","Wed Feb 28 07:27:47 GMT 2024","Wed Feb 28 07:27:50 GMT 2024","3003","tests","UI Functional Tests","TestHomePage","","","Check the Home page is loading",""
"passed","Wed Feb 28 07:34:49 GMT 2024","Wed Feb 28 07:34:53 GMT 2024","3187","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
"broken","Wed Feb 28 07:35:02 GMT 2024","Wed Feb 28 07:35:06 GMT 2024","3791","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
