"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 09 12:03:43 GMT 2024","Sat Mar 09 12:03:49 GMT 2024","6446","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Sat Mar 09 12:04:02 GMT 2024","Sat Mar 09 12:04:08 GMT 2024","5709","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Sat Mar 09 12:04:08 GMT 2024","Sat Mar 09 12:04:13 GMT 2024","5087","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Sat Mar 09 12:05:09 GMT 2024","Sat Mar 09 12:05:17 GMT 2024","7758","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Sat Mar 09 12:04:58 GMT 2024","Sat Mar 09 12:05:03 GMT 2024","5248","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Sat Mar 09 11:56:07 GMT 2024","Sat Mar 09 11:56:26 GMT 2024","18197","tests","Performance Tests","TestPerformance","","","Performance tests for Home page",""
"passed","Sat Mar 09 12:07:25 GMT 2024","Sat Mar 09 12:07:31 GMT 2024","5562","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Sat Mar 09 12:13:10 GMT 2024","Sat Mar 09 12:13:18 GMT 2024","8041","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
"passed","Sat Mar 09 12:11:08 GMT 2024","Sat Mar 09 12:11:17 GMT 2024","8949","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Sat Mar 09 12:10:50 GMT 2024","Sat Mar 09 12:10:59 GMT 2024","8617","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Sat Mar 09 12:04:40 GMT 2024","Sat Mar 09 12:04:45 GMT 2024","4971","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Sat Mar 09 12:05:32 GMT 2024","Sat Mar 09 12:05:37 GMT 2024","5262","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Sat Mar 09 11:56:32 GMT 2024","Sat Mar 09 11:56:34 GMT 2024","2170","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"failed","Sat Mar 09 12:07:52 GMT 2024","Sat Mar 09 12:08:00 GMT 2024","7872","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Sat Mar 09 12:04:22 GMT 2024","Sat Mar 09 12:04:31 GMT 2024","8256","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Sat Mar 09 12:13:47 GMT 2024","Sat Mar 09 12:13:55 GMT 2024","8020","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
"passed","Sat Mar 09 12:08:48 GMT 2024","Sat Mar 09 12:08:56 GMT 2024","7365","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Sat Mar 09 12:11:36 GMT 2024","Sat Mar 09 12:11:44 GMT 2024","7668","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"failed","Sat Mar 09 11:56:59 GMT 2024","Sat Mar 09 11:57:06 GMT 2024","7107","tests","UI Functional Tests","TestUIHomePage","","","Cookie Policy Notification is Visible and Links are Clickable",""
"failed","Sat Mar 09 12:05:17 GMT 2024","Sat Mar 09 12:05:25 GMT 2024","7954","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Sat Mar 09 12:10:13 GMT 2024","Sat Mar 09 12:10:22 GMT 2024","8997","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Sat Mar 09 12:06:01 GMT 2024","Sat Mar 09 12:06:08 GMT 2024","6612","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Sat Mar 09 12:14:04 GMT 2024","Sat Mar 09 12:14:12 GMT 2024","8357","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
"passed","Sat Mar 09 12:07:37 GMT 2024","Sat Mar 09 12:07:43 GMT 2024","5298","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Sat Mar 09 11:57:47 GMT 2024","Sat Mar 09 11:57:51 GMT 2024","3866","tests","UI Functional Tests","TestUIHomePage","","","Check Search Form: ""Vrsta nekretnine""/”Tip” dropdown",""
"passed","Sat Mar 09 12:05:44 GMT 2024","Sat Mar 09 12:05:54 GMT 2024","10244","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Sat Mar 09 12:14:21 GMT 2024","Sat Mar 09 12:14:30 GMT 2024","8321","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
"failed","Sat Mar 09 12:13:38 GMT 2024","Sat Mar 09 12:13:46 GMT 2024","8133","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
"passed","Sat Mar 09 12:09:22 GMT 2024","Sat Mar 09 12:09:32 GMT 2024","10241","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"failed","Sat Mar 09 12:08:01 GMT 2024","Sat Mar 09 12:08:09 GMT 2024","8321","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Sat Mar 09 11:59:25 GMT 2024","Sat Mar 09 11:59:34 GMT 2024","9788","tests","UI Functional Tests","TestUIHomePage","","","Check ""Upiši lokaciju"" Autocomplete Multiselect",""
"passed","Sat Mar 09 12:06:25 GMT 2024","Sat Mar 09 12:06:29 GMT 2024","4962","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Sat Mar 09 12:06:36 GMT 2024","Sat Mar 09 12:06:41 GMT 2024","5172","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Sat Mar 09 12:10:41 GMT 2024","Sat Mar 09 12:10:50 GMT 2024","8619","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Sat Mar 09 12:08:56 GMT 2024","Sat Mar 09 12:09:11 GMT 2024","14595","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Sat Mar 09 11:56:48 GMT 2024","Sat Mar 09 11:56:51 GMT 2024","2486","tests","UI Functional Tests","TestUIHomePage","","","Check the Home page is loading",""
"passed","Sat Mar 09 11:56:29 GMT 2024","Sat Mar 09 11:56:31 GMT 2024","2098","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
"passed","Sat Mar 09 12:03:56 GMT 2024","Sat Mar 09 12:04:01 GMT 2024","5364","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Sat Mar 09 12:04:14 GMT 2024","Sat Mar 09 12:04:22 GMT 2024","8140","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Sat Mar 09 11:58:54 GMT 2024","Sat Mar 09 11:59:01 GMT 2024","7521","tests","UI Functional Tests","TestUIHomePage","","","Check Search Form: Subcategories dropdown",""
"passed","Sat Mar 09 12:00:14 GMT 2024","Sat Mar 09 12:00:19 GMT 2024","5030","tests","UI Functional Tests","TestUIHomePage","","","Check ""Samo novogradnja"" checkbox",""
"passed","Sat Mar 09 12:07:31 GMT 2024","Sat Mar 09 12:07:37 GMT 2024","5408","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
