"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 29 10:51:58 GMT 2024","Thu Feb 29 10:52:07 GMT 2024","8494","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 10:51:38 GMT 2024","Thu Feb 29 10:51:48 GMT 2024","9438","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 10:53:05 GMT 2024","Thu Feb 29 10:53:15 GMT 2024","9508","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 10:54:04 GMT 2024","Thu Feb 29 10:54:13 GMT 2024","9391","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"skipped","Thu Feb 29 10:50:52 GMT 2024","Thu Feb 29 10:50:52 GMT 2024","0","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
"passed","Thu Feb 29 10:54:33 GMT 2024","Thu Feb 29 10:55:57 GMT 2024","83611","tests","UI Functional Tests","TestUIHomePage","","","Check Footer Links",""
"failed","Thu Feb 29 10:50:53 GMT 2024","Thu Feb 29 10:50:57 GMT 2024","4248","tests","SEO Tests","TestSEO","","","Check if external links have an attribute rel=""nofollow""",""
"failed","Thu Feb 29 10:51:01 GMT 2024","Thu Feb 29 10:51:08 GMT 2024","7346","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 10:53:54 GMT 2024","Thu Feb 29 10:54:03 GMT 2024","9328","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 10:54:14 GMT 2024","Thu Feb 29 10:54:23 GMT 2024","9264","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 10:52:45 GMT 2024","Thu Feb 29 10:52:55 GMT 2024","9097","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 10:50:49 GMT 2024","Thu Feb 29 10:50:52 GMT 2024","3132","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
"failed","Thu Feb 29 10:52:16 GMT 2024","Thu Feb 29 10:52:26 GMT 2024","9112","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 10:53:34 GMT 2024","Thu Feb 29 10:53:43 GMT 2024","9206","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 10:50:41 GMT 2024","Thu Feb 29 10:50:49 GMT 2024","7565","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"failed","Thu Feb 29 10:52:07 GMT 2024","Thu Feb 29 10:52:16 GMT 2024","8555","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 10:53:25 GMT 2024","Thu Feb 29 10:53:33 GMT 2024","8686","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 10:52:55 GMT 2024","Thu Feb 29 10:53:05 GMT 2024","9430","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 10:50:58 GMT 2024","Thu Feb 29 10:51:00 GMT 2024","2756","tests","UI Functional Tests","TestUIHomePage","","","Check the Home page is loading",""
"failed","Thu Feb 29 10:52:26 GMT 2024","Thu Feb 29 10:52:35 GMT 2024","9024","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 10:51:28 GMT 2024","Thu Feb 29 10:51:38 GMT 2024","9174","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
