"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 25 09:28:28 GMT 2024","Sun Feb 25 09:29:48 GMT 2024","80190","tests","UI Functional Tests","TestHomePage","","","Check Footer Links",""
"failed","Sun Feb 25 09:30:45 GMT 2024","Sun Feb 25 09:30:59 GMT 2024","14719","tests","SEO Tests","TestSEO","","","Check if external links have an attribute rel=""nofollow""",""
"passed","Sun Feb 25 09:30:30 GMT 2024","Sun Feb 25 09:30:33 GMT 2024","2901","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"passed","Sun Feb 25 09:29:48 GMT 2024","Sun Feb 25 09:30:05 GMT 2024","16415","tests","Performance Tests","TestPerformance","","","Performance tests for Home page",""
"passed","Sun Feb 25 09:30:08 GMT 2024","Sun Feb 25 09:30:12 GMT 2024","3743","tests","SEO Tests","TestSEO","","","Check Browser Page Title",""
"failed","Sun Feb 25 09:30:21 GMT 2024","Sun Feb 25 09:30:29 GMT 2024","7781","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
"passed","Sun Feb 25 09:28:24 GMT 2024","Sun Feb 25 09:28:27 GMT 2024","3035","tests","UI Functional Tests","TestHomePage","","","Check the Home page is loading",""
"passed","Sun Feb 25 09:30:33 GMT 2024","Sun Feb 25 09:30:36 GMT 2024","2822","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
"failed","Sun Feb 25 09:30:36 GMT 2024","Sun Feb 25 09:30:44 GMT 2024","7711","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
