"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 24 17:08:00 GMT 2024","Sat Feb 24 17:09:21 GMT 2024","80608","tests","UI Functional Tests","TestHomePage","","","Check Footer Links",""
"passed","Sat Feb 24 17:09:35 GMT 2024","Sat Feb 24 17:09:37 GMT 2024","1871","tests","SEO Tests","TestSEO","","","Check Browser Page Title",""
"failed","Sat Feb 24 17:09:51 GMT 2024","Sat Feb 24 17:10:00 GMT 2024","8240","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
"broken","Sat Feb 24 17:09:37 GMT 2024","Sat Feb 24 17:09:44 GMT 2024","6990","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
"passed","Sat Feb 24 17:09:48 GMT 2024","Sat Feb 24 17:09:51 GMT 2024","3005","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
"passed","Sat Feb 24 17:09:21 GMT 2024","Sat Feb 24 17:09:35 GMT 2024","13690","tests","Performance Tests","TestPerformance","","","Performance tests for Home page",""
"passed","Sat Feb 24 17:09:45 GMT 2024","Sat Feb 24 17:09:47 GMT 2024","2242","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"passed","Sat Feb 24 17:07:57 GMT 2024","Sat Feb 24 17:07:59 GMT 2024","2505","tests","UI Functional Tests","TestHomePage","","","Check the Home page is loading",""
