"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 24 17:40:36 GMT 2024","Sat Feb 24 17:40:38 GMT 2024","2063","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
"passed","Sat Feb 24 17:40:00 GMT 2024","Sat Feb 24 17:40:16 GMT 2024","15262","tests","Performance Tests","TestPerformance","","","Performance tests for Home page",""
"failed","Sat Feb 24 17:40:47 GMT 2024","Sat Feb 24 17:40:54 GMT 2024","7248","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
"passed","Sat Feb 24 17:40:16 GMT 2024","Sat Feb 24 17:40:18 GMT 2024","1825","tests","SEO Tests","TestSEO","","","Check Browser Page Title",""
"passed","Sat Feb 24 17:38:48 GMT 2024","Sat Feb 24 17:40:00 GMT 2024","72134","tests","UI Functional Tests","TestHomePage","","","Check Footer Links",""
"passed","Sat Feb 24 17:40:34 GMT 2024","Sat Feb 24 17:40:36 GMT 2024","2031","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"passed","Sat Feb 24 17:38:45 GMT 2024","Sat Feb 24 17:38:47 GMT 2024","2631","tests","UI Functional Tests","TestHomePage","","","Check the Home page is loading",""
"failed","Sat Feb 24 17:40:26 GMT 2024","Sat Feb 24 17:40:33 GMT 2024","7122","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
