"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 29 08:37:58 GMT 2024","Thu Feb 29 08:38:07 GMT 2024","8510","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
"failed","Thu Feb 29 08:38:15 GMT 2024","Thu Feb 29 08:38:23 GMT 2024","8010","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"broken","Thu Feb 29 08:38:23 GMT 2024","Thu Feb 29 08:38:23 GMT 2024","0","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 08:37:52 GMT 2024","Thu Feb 29 08:37:54 GMT 2024","2052","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"broken","Thu Feb 29 08:43:54 GMT 2024","Thu Feb 29 08:43:54 GMT 2024","0","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 08:49:15 GMT 2024","Thu Feb 29 08:49:24 GMT 2024","8795","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 08:38:12 GMT 2024","Thu Feb 29 08:38:14 GMT 2024","2263","tests","UI Functional Tests","TestUIHomePage","","","Check the Home page is loading",""
"failed","Thu Feb 29 08:43:45 GMT 2024","Thu Feb 29 08:43:54 GMT 2024","8568","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 08:37:49 GMT 2024","Thu Feb 29 08:37:52 GMT 2024","2506","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
"passed","Thu Feb 29 08:37:46 GMT 2024","Thu Feb 29 08:37:49 GMT 2024","2413","tests","SEO Tests","TestSEO","","","Check Browser Page Title",""
"failed","Thu Feb 29 08:38:07 GMT 2024","Thu Feb 29 08:38:11 GMT 2024","3844","tests","SEO Tests","TestSEO","","","Check if external links have an attribute rel=""nofollow""",""
"broken","Thu Feb 29 08:37:42 GMT 2024","Thu Feb 29 08:37:42 GMT 2024","1","tests","Performance Tests","TestPerformance","","","Performance tests for Home page",""
"passed","Thu Feb 29 08:37:55 GMT 2024","Thu Feb 29 08:37:58 GMT 2024","2771","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
