"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 24 21:38:35 GMT 2024","Sat Feb 24 21:38:39 GMT 2024","3551","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
"failed","Sat Feb 24 21:38:22 GMT 2024","Sat Feb 24 21:38:24 GMT 2024","2155","tests","SEO Tests","TestSEO","","","Check Browser Page Title",""
"passed","Sat Feb 24 21:38:06 GMT 2024","Sat Feb 24 21:38:21 GMT 2024","14739","tests","Performance Tests","TestPerformance","","","Performance tests for Home page",""
"passed","Sat Feb 24 21:38:32 GMT 2024","Sat Feb 24 21:38:34 GMT 2024","2418","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"passed","Sat Feb 24 21:36:42 GMT 2024","Sat Feb 24 21:36:46 GMT 2024","3089","tests","UI Functional Tests","TestHomePage","","","Check the Home page is loading",""
"passed","Sat Feb 24 21:36:46 GMT 2024","Sat Feb 24 21:38:06 GMT 2024","80128","tests","UI Functional Tests","TestHomePage","","","Check Footer Links",""
"broken","Sat Feb 24 21:38:24 GMT 2024","Sat Feb 24 21:38:31 GMT 2024","7102","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
"failed","Sat Feb 24 21:38:47 GMT 2024","Sat Feb 24 21:39:01 GMT 2024","14024","tests","SEO Tests","TestSEO","","","Check if external links have a tag rel=""nofollow""",""
"failed","Sat Feb 24 21:38:39 GMT 2024","Sat Feb 24 21:38:46 GMT 2024","7346","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
