"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 29 14:17:14 GMT 2024","Thu Feb 29 14:17:18 GMT 2024","4718","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:17:59 GMT 2024","Thu Feb 29 14:18:05 GMT 2024","5036","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:14:44 GMT 2024","Thu Feb 29 14:14:47 GMT 2024","2602","tests","UI Functional Tests","TestUIHomePage","","","Check the Home page is loading",""
"failed","Thu Feb 29 14:18:30 GMT 2024","Thu Feb 29 14:18:39 GMT 2024","9538","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 14:17:35 GMT 2024","Thu Feb 29 14:17:44 GMT 2024","9857","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:14:48 GMT 2024","Thu Feb 29 14:16:02 GMT 2024","74039","tests","UI Functional Tests","TestUIHomePage","","","Check Footer Links",""
"skipped","Thu Feb 29 14:14:39 GMT 2024","Thu Feb 29 14:14:39 GMT 2024","0","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
"failed","Thu Feb 29 14:16:50 GMT 2024","Thu Feb 29 14:16:59 GMT 2024","8629","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 14:18:20 GMT 2024","Thu Feb 29 14:18:29 GMT 2024","9638","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:16:22 GMT 2024","Thu Feb 29 14:16:27 GMT 2024","5066","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:17:54 GMT 2024","Thu Feb 29 14:17:59 GMT 2024","5012","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:17:30 GMT 2024","Thu Feb 29 14:17:34 GMT 2024","4488","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:14:30 GMT 2024","Thu Feb 29 14:14:32 GMT 2024","2638","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
"passed","Thu Feb 29 14:16:28 GMT 2024","Thu Feb 29 14:16:32 GMT 2024","4569","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:14:26 GMT 2024","Thu Feb 29 14:14:29 GMT 2024","2680","tests","SEO Tests","TestSEO","","","Check Browser Page Title",""
"failed","Thu Feb 29 14:16:02 GMT 2024","Thu Feb 29 14:16:11 GMT 2024","8868","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:16:17 GMT 2024","Thu Feb 29 14:16:22 GMT 2024","4455","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:14:33 GMT 2024","Thu Feb 29 14:14:35 GMT 2024","2575","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"passed","Thu Feb 29 14:18:05 GMT 2024","Thu Feb 29 14:18:10 GMT 2024","4613","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:17:19 GMT 2024","Thu Feb 29 14:17:23 GMT 2024","4632","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 14:18:10 GMT 2024","Thu Feb 29 14:18:19 GMT 2024","8982","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:16:12 GMT 2024","Thu Feb 29 14:16:17 GMT 2024","5004","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 14:16:41 GMT 2024","Thu Feb 29 14:16:49 GMT 2024","8586","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 14:16:33 GMT 2024","Thu Feb 29 14:16:40 GMT 2024","7369","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:17:24 GMT 2024","Thu Feb 29 14:17:29 GMT 2024","4946","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 14:17:45 GMT 2024","Thu Feb 29 14:17:53 GMT 2024","8352","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 14:16:59 GMT 2024","Thu Feb 29 14:17:08 GMT 2024","8537","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 14:14:05 GMT 2024","Thu Feb 29 14:14:26 GMT 2024","20399","tests","Performance Tests","TestPerformance","","","Performance tests for Home page",""
"failed","Thu Feb 29 14:14:40 GMT 2024","Thu Feb 29 14:14:44 GMT 2024","4007","tests","SEO Tests","TestSEO","","","Check if external links have an attribute rel=""nofollow""",""
"passed","Thu Feb 29 14:14:36 GMT 2024","Thu Feb 29 14:14:39 GMT 2024","3190","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
"passed","Thu Feb 29 14:17:08 GMT 2024","Thu Feb 29 14:17:13 GMT 2024","4712","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu ""Prodaja"" Navigation",""
