"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 28 10:38:44 GMT 2024","Wed Feb 28 10:38:51 GMT 2024","7400","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
"passed","Wed Feb 28 10:38:33 GMT 2024","Wed Feb 28 10:38:35 GMT 2024","2455","tests","SEO Tests","TestSEO","","","Check Browser Page Title",""
"passed","Wed Feb 28 10:38:52 GMT 2024","Wed Feb 28 10:38:54 GMT 2024","2021","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"passed","Wed Feb 28 10:37:03 GMT 2024","Wed Feb 28 10:38:17 GMT 2024","74782","tests","UI Functional Tests","TestHomePage","","","Check Footer Links",""
"passed","Wed Feb 28 10:38:18 GMT 2024","Wed Feb 28 10:38:33 GMT 2024","15051","tests","Performance Tests","TestPerformance","","","Performance tests for Home page",""
"passed","Wed Feb 28 10:38:54 GMT 2024","Wed Feb 28 10:38:57 GMT 2024","2602","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
"passed","Wed Feb 28 10:37:00 GMT 2024","Wed Feb 28 10:37:02 GMT 2024","2397","tests","UI Functional Tests","TestHomePage","","","Check the Home page is loading",""
"failed","Wed Feb 28 10:39:05 GMT 2024","Wed Feb 28 10:39:19 GMT 2024","13866","tests","SEO Tests","TestSEO","","","Check if external links have an attribute rel=""nofollow""",""
"failed","Wed Feb 28 10:38:58 GMT 2024","Wed Feb 28 10:39:05 GMT 2024","7364","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
