"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 09 08:31:12 GMT 2024","Sat Mar 09 08:31:19 GMT 2024","7142","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Sat Mar 09 08:33:55 GMT 2024","Sat Mar 09 08:34:01 GMT 2024","6405","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Sat Mar 09 08:33:38 GMT 2024","Sat Mar 09 08:33:47 GMT 2024","8896","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Sat Mar 09 08:23:21 GMT 2024","Sat Mar 09 08:23:23 GMT 2024","2583","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
"passed","Sat Mar 09 08:34:09 GMT 2024","Sat Mar 09 08:34:16 GMT 2024","6989","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Sat Mar 09 08:35:38 GMT 2024","Sat Mar 09 08:35:47 GMT 2024","8565","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"broken","Sat Mar 09 08:25:20 GMT 2024","Sat Mar 09 08:25:23 GMT 2024","3083","tests","UI Functional Tests","TestUIHomePage","","","Check Search Form: Subcategories dropdown",""
"passed","Sat Mar 09 08:25:48 GMT 2024","Sat Mar 09 08:25:57 GMT 2024","8326","tests","UI Functional Tests","TestUIHomePage","","","Check ""Upiši lokaciju"" Autocomplete Multiselect",""
"passed","Sat Mar 09 08:30:58 GMT 2024","Sat Mar 09 08:31:05 GMT 2024","6551","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Sat Mar 09 08:39:31 GMT 2024","Sat Mar 09 08:39:42 GMT 2024","11110","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Sat Mar 09 08:36:52 GMT 2024","Sat Mar 09 08:37:07 GMT 2024","15302","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
