"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 05 10:46:18 GMT 2024","Tue Mar 05 10:46:21 GMT 2024","3160","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3> in Carousel Added Values",""
"failed","Tue Mar 05 10:59:36 GMT 2024","Tue Mar 05 10:59:41 GMT 2024","5222","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"failed","Tue Mar 05 10:56:08 GMT 2024","Tue Mar 05 10:56:17 GMT 2024","8623","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Tue Mar 05 10:55:05 GMT 2024","Tue Mar 05 10:55:15 GMT 2024","10102","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Tue Mar 05 10:52:03 GMT 2024","Tue Mar 05 10:52:13 GMT 2024","10104","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Tue Mar 05 10:57:28 GMT 2024","Tue Mar 05 10:57:33 GMT 2024","4925","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Tue Mar 05 10:52:37 GMT 2024","Tue Mar 05 10:52:43 GMT 2024","6324","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Tue Mar 05 10:53:49 GMT 2024","Tue Mar 05 10:53:55 GMT 2024","5549","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Tue Mar 05 10:57:44 GMT 2024","Tue Mar 05 10:57:50 GMT 2024","5410","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Tue Mar 05 10:51:46 GMT 2024","Tue Mar 05 10:51:52 GMT 2024","6039","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Tue Mar 05 10:52:14 GMT 2024","Tue Mar 05 10:52:22 GMT 2024","8500","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
