"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 05 18:03:18 GMT 2024","Tue Mar 05 18:03:23 GMT 2024","5007","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Tue Mar 05 18:02:38 GMT 2024","Tue Mar 05 18:02:44 GMT 2024","5031","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Tue Mar 05 18:04:41 GMT 2024","Tue Mar 05 18:04:46 GMT 2024","4389","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Tue Mar 05 18:02:26 GMT 2024","Tue Mar 05 18:02:32 GMT 2024","5815","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Tue Mar 05 18:08:25 GMT 2024","Tue Mar 05 18:08:40 GMT 2024","15358","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Tue Mar 05 18:06:55 GMT 2024","Tue Mar 05 18:07:00 GMT 2024","4968","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Tue Mar 05 18:14:14 GMT 2024","Tue Mar 05 18:14:22 GMT 2024","8110","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
"passed","Tue Mar 05 18:05:14 GMT 2024","Tue Mar 05 18:05:20 GMT 2024","5924","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Tue Mar 05 18:03:34 GMT 2024","Tue Mar 05 18:03:39 GMT 2024","5197","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Tue Mar 05 18:04:03 GMT 2024","Tue Mar 05 18:04:09 GMT 2024","5224","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Tue Mar 05 18:06:49 GMT 2024","Tue Mar 05 18:06:54 GMT 2024","5218","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Tue Mar 05 18:12:05 GMT 2024","Tue Mar 05 18:12:19 GMT 2024","13613","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"failed","Tue Mar 05 18:09:52 GMT 2024","Tue Mar 05 18:10:00 GMT 2024","8009","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Tue Mar 05 18:07:00 GMT 2024","Tue Mar 05 18:07:11 GMT 2024","10811","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Tue Mar 05 18:10:43 GMT 2024","Tue Mar 05 18:10:58 GMT 2024","15673","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"broken","Tue Mar 05 17:59:01 GMT 2024","Tue Mar 05 17:59:03 GMT 2024","2218","tests","UI Functional Tests","TestUIHomePage","","","Check Search Form Inputs ""Cena do"" and ""m2 od""",""
"failed","Tue Mar 05 18:06:24 GMT 2024","Tue Mar 05 18:06:31 GMT 2024","7259","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Tue Mar 05 18:14:40 GMT 2024","Tue Mar 05 18:14:48 GMT 2024","8010","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
"passed","Tue Mar 05 18:08:54 GMT 2024","Tue Mar 05 18:09:08 GMT 2024","13524","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"broken","Tue Mar 05 17:59:09 GMT 2024","Tue Mar 05 17:59:11 GMT 2024","1902","tests","UI Functional Tests","TestUIHomePage","","","Check Search Form Inputs ""Cena do"" and ""m2 od""",""
"failed","Tue Mar 05 18:14:31 GMT 2024","Tue Mar 05 18:14:39 GMT 2024","8067","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
"passed","Tue Mar 05 17:59:19 GMT 2024","Tue Mar 05 17:59:27 GMT 2024","8471","tests","UI Functional Tests","TestUIHomePage","","","Check ""Service offerings"" Carousel",""
