"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Mar 05 18:47:06 GMT 2024","Tue Mar 05 18:47:14 GMT 2024","7819","tests","UI Functional Tests","TestUIHomePage","","","Check Search Form: Subcategories dropdown",""
"passed","Tue Mar 05 18:46:36 GMT 2024","Tue Mar 05 18:46:40 GMT 2024","3497","tests","UI Functional Tests","TestUIHomePage","","","Check Search Form is visible and Tabs are working",""
"failed","Tue Mar 05 19:01:03 GMT 2024","Tue Mar 05 19:01:13 GMT 2024","9186","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Tue Mar 05 18:57:31 GMT 2024","Tue Mar 05 18:57:44 GMT 2024","13154","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"failed","Tue Mar 05 19:00:28 GMT 2024","Tue Mar 05 19:00:36 GMT 2024","8191","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"failed","Tue Mar 05 18:55:01 GMT 2024","Tue Mar 05 18:55:10 GMT 2024","8356","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Tue Mar 05 18:55:22 GMT 2024","Tue Mar 05 18:55:31 GMT 2024","9244","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Tue Mar 05 18:53:39 GMT 2024","Tue Mar 05 18:53:44 GMT 2024","5039","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Tue Mar 05 19:03:01 GMT 2024","Tue Mar 05 19:03:09 GMT 2024","7885","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
"passed","Tue Mar 05 18:55:16 GMT 2024","Tue Mar 05 18:55:21 GMT 2024","4895","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Tue Mar 05 18:52:08 GMT 2024","Tue Mar 05 18:52:13 GMT 2024","5095","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Tue Mar 05 18:47:34 GMT 2024","Tue Mar 05 18:47:38 GMT 2024","3710","tests","UI Functional Tests","TestUIHomePage","","","Check Search Form Inputs ""Cena do"" and ""m2 od""",""
"failed","Tue Mar 05 18:54:45 GMT 2024","Tue Mar 05 18:54:52 GMT 2024","7174","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Tue Mar 05 18:51:02 GMT 2024","Tue Mar 05 18:51:07 GMT 2024","5195","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Tue Mar 05 18:51:50 GMT 2024","Tue Mar 05 18:51:56 GMT 2024","5797","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Tue Mar 05 18:58:37 GMT 2024","Tue Mar 05 18:58:51 GMT 2024","13370","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"failed","Tue Mar 05 19:02:43 GMT 2024","Tue Mar 05 19:02:52 GMT 2024","8365","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
"passed","Tue Mar 05 18:46:32 GMT 2024","Tue Mar 05 18:46:36 GMT 2024","3239","tests","UI Functional Tests","TestUIHomePage","","","Check Login via Email",""
"failed","Tue Mar 05 18:46:24 GMT 2024","Tue Mar 05 18:46:28 GMT 2024","3787","tests","SEO Tests","TestSEO","","","Check if external links have an attribute rel=""nofollow""",""
"passed","Tue Mar 05 18:52:39 GMT 2024","Tue Mar 05 18:52:44 GMT 2024","5532","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Tue Mar 05 18:55:40 GMT 2024","Tue Mar 05 18:55:48 GMT 2024","8343","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Tue Mar 05 18:51:35 GMT 2024","Tue Mar 05 18:51:43 GMT 2024","8296","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Tue Mar 05 18:45:38 GMT 2024","Tue Mar 05 18:45:59 GMT 2024","20928","tests","Performance Tests","TestPerformance","","","Performance tests for Home page",""
"passed","Tue Mar 05 18:47:28 GMT 2024","Tue Mar 05 18:47:34 GMT 2024","5658","tests","UI Functional Tests","TestUIHomePage","","","Check Search Form Inputs ""Cena do"" and ""m2 od""",""
"passed","Tue Mar 05 18:51:08 GMT 2024","Tue Mar 05 18:51:13 GMT 2024","4872","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Tue Mar 05 18:53:02 GMT 2024","Tue Mar 05 18:53:06 GMT 2024","4640","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
