"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 25 08:09:43 GMT 2024","Sun Feb 25 08:09:45 GMT 2024","2371","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"failed","Sun Feb 25 08:09:35 GMT 2024","Sun Feb 25 08:09:42 GMT 2024","7385","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
"passed","Sun Feb 25 08:09:24 GMT 2024","Sun Feb 25 08:09:26 GMT 2024","2612","tests","SEO Tests","TestSEO","","","Check Browser Page Title",""
"passed","Sun Feb 25 08:07:46 GMT 2024","Sun Feb 25 08:07:49 GMT 2024","3237","tests","UI Functional Tests","TestHomePage","","","Check the Home page is loading",""
"passed","Sun Feb 25 08:09:09 GMT 2024","Sun Feb 25 08:09:23 GMT 2024","14748","tests","Performance Tests","TestPerformance","","","Performance tests for Home page",""
"failed","Sun Feb 25 08:09:57 GMT 2024","Sun Feb 25 08:10:04 GMT 2024","7923","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
"failed","Sun Feb 25 08:10:20 GMT 2024","Sun Feb 25 08:10:33 GMT 2024","13892","tests","SEO Tests","TestSEO","","","Check if external links have an attribute rel=""nofollow""",""
"passed","Sun Feb 25 08:07:50 GMT 2024","Sun Feb 25 08:09:08 GMT 2024","78790","tests","UI Functional Tests","TestHomePage","","","Check Footer Links",""
"passed","Sun Feb 25 08:09:46 GMT 2024","Sun Feb 25 08:09:48 GMT 2024","2485","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
