"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 28 11:28:57 GMT 2024","Wed Feb 28 11:29:00 GMT 2024","2894","tests","UI Functional Tests","TestHomePage","","","Check the Home page is loading",""
"passed","Wed Feb 28 11:30:37 GMT 2024","Wed Feb 28 11:30:40 GMT 2024","2336","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
"passed","Wed Feb 28 11:30:15 GMT 2024","Wed Feb 28 11:30:18 GMT 2024","2797","tests","SEO Tests","TestSEO","","","Check Browser Page Title",""
"failed","Wed Feb 28 11:30:49 GMT 2024","Wed Feb 28 11:31:02 GMT 2024","13538","tests","SEO Tests","TestSEO","","","Check if external links have an attribute rel=""nofollow""",""
"passed","Wed Feb 28 11:30:35 GMT 2024","Wed Feb 28 11:30:37 GMT 2024","2285","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"failed","Wed Feb 28 11:30:40 GMT 2024","Wed Feb 28 11:30:48 GMT 2024","7641","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
"failed","Wed Feb 28 11:30:27 GMT 2024","Wed Feb 28 11:30:34 GMT 2024","7269","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
"broken","Wed Feb 28 11:30:15 GMT 2024","Wed Feb 28 11:30:15 GMT 2024","1","tests","Performance Tests","TestPerformance","","","Performance tests for Home page",""
"passed","Wed Feb 28 11:29:01 GMT 2024","Wed Feb 28 11:30:15 GMT 2024","73892","tests","UI Functional Tests","TestHomePage","","","Check Footer Links",""
