"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 28 09:26:14 GMT 2024","Wed Feb 28 09:26:16 GMT 2024","2420","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
"passed","Wed Feb 28 09:24:01 GMT 2024","Wed Feb 28 09:25:52 GMT 2024","110915","tests","Performance Tests","TestPerformance","","","Performance tests for Home page",""
"passed","Wed Feb 28 09:26:11 GMT 2024","Wed Feb 28 09:26:13 GMT 2024","2235","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"passed","Wed Feb 28 09:25:52 GMT 2024","Wed Feb 28 09:25:54 GMT 2024","2106","tests","SEO Tests","TestSEO","","","Check Browser Page Title",""
"failed","Wed Feb 28 09:26:17 GMT 2024","Wed Feb 28 09:26:24 GMT 2024","7459","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
"passed","Wed Feb 28 09:22:46 GMT 2024","Wed Feb 28 09:24:01 GMT 2024","74796","tests","UI Functional Tests","TestHomePage","","","Check Footer Links",""
"broken","Wed Feb 28 09:22:43 GMT 2024","Wed Feb 28 09:22:45 GMT 2024","2253","tests","UI Functional Tests","TestHomePage","","","Check the Home page is loading",""
"failed","Wed Feb 28 09:26:25 GMT 2024","Wed Feb 28 09:26:38 GMT 2024","13783","tests","SEO Tests","TestSEO","","","Check if external links have an attribute rel=""nofollow""",""
"failed","Wed Feb 28 09:26:03 GMT 2024","Wed Feb 28 09:26:10 GMT 2024","7518","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
