"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 10 11:54:38 GMT 2024","Sun Mar 10 11:54:44 GMT 2024","5939","tests","UI Functional Tests","TestUIHomePage","","","Check ""Samo novogradnja"" checkbox",""
"failed","Sun Mar 10 12:04:15 GMT 2024","Sun Mar 10 12:04:23 GMT 2024","8198","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Sun Mar 10 12:05:36 GMT 2024","Sun Mar 10 12:05:45 GMT 2024","9171","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Sun Mar 10 12:02:06 GMT 2024","Sun Mar 10 12:02:12 GMT 2024","5742","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Sun Mar 10 12:03:17 GMT 2024","Sun Mar 10 12:03:25 GMT 2024","8534","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Sun Mar 10 12:03:26 GMT 2024","Sun Mar 10 12:03:34 GMT 2024","7855","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Sun Mar 10 12:03:49 GMT 2024","Sun Mar 10 12:03:54 GMT 2024","5366","tests","UI Functional Tests","Menu Navigation: ""Izdavanje""","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Sun Mar 10 11:51:51 GMT 2024","Sun Mar 10 11:51:56 GMT 2024","4082","tests","UI Functional Tests","TestUIHomePage","","","Check Login via Email",""
"failed","Sun Mar 10 12:08:30 GMT 2024","Sun Mar 10 12:08:38 GMT 2024","8428","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
"failed","Sun Mar 10 12:09:42 GMT 2024","Sun Mar 10 12:09:50 GMT 2024","8050","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
