"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 25 09:41:47 GMT 2024","Sun Feb 25 09:43:02 GMT 2024","75154","tests","UI Functional Tests","TestHomePage","","","Check Footer Links",""
"passed","Sun Feb 25 09:43:38 GMT 2024","Sun Feb 25 09:43:41 GMT 2024","2652","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"passed","Sun Feb 25 09:41:43 GMT 2024","Sun Feb 25 09:41:46 GMT 2024","3129","tests","UI Functional Tests","TestHomePage","","","Check the Home page is loading",""
"passed","Sun Feb 25 09:43:02 GMT 2024","Sun Feb 25 09:43:18 GMT 2024","16287","tests","Performance Tests","TestPerformance","","","Performance tests for Home page",""
"failed","Sun Feb 25 09:43:54 GMT 2024","Sun Feb 25 09:44:08 GMT 2024","14006","tests","SEO Tests","TestSEO","","","Check if external links have an attribute rel=""nofollow""",""
"passed","Sun Feb 25 09:43:19 GMT 2024","Sun Feb 25 09:43:21 GMT 2024","2717","tests","SEO Tests","TestSEO","","","Check Browser Page Title",""
"passed","Sun Feb 25 09:43:42 GMT 2024","Sun Feb 25 09:43:44 GMT 2024","2671","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
"failed","Sun Feb 25 09:43:45 GMT 2024","Sun Feb 25 09:43:53 GMT 2024","8166","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
"failed","Sun Feb 25 09:43:30 GMT 2024","Sun Feb 25 09:43:38 GMT 2024","7638","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
