"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 28 09:15:11 GMT 2024","Wed Feb 28 09:15:14 GMT 2024","3024","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
"failed","Wed Feb 28 09:15:01 GMT 2024","Wed Feb 28 09:15:03 GMT 2024","2225","tests","SEO Tests","TestSEO","","","Check Browser Page Title",""
"passed","Wed Feb 28 09:15:08 GMT 2024","Wed Feb 28 09:15:10 GMT 2024","2574","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"failed","Wed Feb 28 09:10:38 GMT 2024","Wed Feb 28 09:10:40 GMT 2024","2561","tests","UI Functional Tests","TestHomePage","","","Check the Home page is loading",""
"broken","Wed Feb 28 09:15:15 GMT 2024","Wed Feb 28 09:15:17 GMT 2024","2330","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
"passed","Wed Feb 28 09:10:41 GMT 2024","Wed Feb 28 09:11:58 GMT 2024","76886","tests","UI Functional Tests","TestHomePage","","","Check Footer Links",""
"passed","Wed Feb 28 09:11:58 GMT 2024","Wed Feb 28 09:14:58 GMT 2024","179421","tests","Performance Tests","TestPerformance","","","Performance tests for Home page",""
"failed","Wed Feb 28 09:15:17 GMT 2024","Wed Feb 28 09:15:22 GMT 2024","4107","tests","SEO Tests","TestSEO","","","Check if external links have an attribute rel=""nofollow""",""
"passed","Wed Feb 28 09:15:04 GMT 2024","Wed Feb 28 09:15:07 GMT 2024","2983","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
