"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Mar 03 11:08:32 GMT 2024","Sun Mar 03 11:08:39 GMT 2024","7047","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"failed","Sun Mar 03 11:06:54 GMT 2024","Sun Mar 03 11:06:59 GMT 2024","4931","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Sun Mar 03 11:02:16 GMT 2024","Sun Mar 03 11:02:22 GMT 2024","6422","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Sun Mar 03 11:02:43 GMT 2024","Sun Mar 03 11:02:49 GMT 2024","5875","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Sun Mar 03 11:10:13 GMT 2024","Sun Mar 03 11:10:20 GMT 2024","6655","tests","UI Functional Tests","Menu Navigation: ""Oglašavanje""","","","Check Menu Navigation: ""Oglašavanje""",""
"failed","Sun Mar 03 11:03:18 GMT 2024","Sun Mar 03 11:03:24 GMT 2024","5813","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"passed","Sun Mar 03 10:58:37 GMT 2024","Sun Mar 03 10:58:40 GMT 2024","3031","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"failed","Sun Mar 03 11:06:30 GMT 2024","Sun Mar 03 11:06:36 GMT 2024","5284","tests","UI Functional Tests","Menu Navigation: ""Novogradnja""","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Sun Mar 03 11:03:11 GMT 2024","Sun Mar 03 11:03:18 GMT 2024","6171","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
"failed","Sun Mar 03 11:01:54 GMT 2024","Sun Mar 03 11:02:01 GMT 2024","6956","tests","UI Functional Tests","Menu Navigation: ""Prodaja""","","","Check Menu Navigation: ""Prodaja""",""
