"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 25 07:34:38 GMT 2024","Sun Feb 25 07:34:41 GMT 2024","2955","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
"passed","Sun Feb 25 07:32:22 GMT 2024","Sun Feb 25 07:33:58 GMT 2024","95892","tests","UI Functional Tests","TestHomePage","","","Check Footer Links",""
"failed","Sun Feb 25 07:34:51 GMT 2024","Sun Feb 25 07:34:59 GMT 2024","7862","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
"passed","Sun Feb 25 07:32:18 GMT 2024","Sun Feb 25 07:32:22 GMT 2024","3435","tests","UI Functional Tests","TestHomePage","","","Check the Home page is loading",""
"passed","Sun Feb 25 07:33:58 GMT 2024","Sun Feb 25 07:34:15 GMT 2024","16589","tests","Performance Tests","TestPerformance","","","Performance tests for Home page",""
"failed","Sun Feb 25 07:35:15 GMT 2024","Sun Feb 25 07:35:30 GMT 2024","14860","tests","SEO Tests","TestSEO","","","Check if external links have a tag rel=""nofollow""",""
"passed","Sun Feb 25 07:34:15 GMT 2024","Sun Feb 25 07:34:18 GMT 2024","2710","tests","SEO Tests","TestSEO","","","Check Browser Page Title",""
"passed","Sun Feb 25 07:34:35 GMT 2024","Sun Feb 25 07:34:38 GMT 2024","2773","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"failed","Sun Feb 25 07:34:27 GMT 2024","Sun Feb 25 07:34:35 GMT 2024","7797","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
