"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 25 09:10:24 GMT 2024","Sun Feb 25 09:10:26 GMT 2024","2211","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"failed","Sun Feb 25 09:10:30 GMT 2024","Sun Feb 25 09:10:38 GMT 2024","7819","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
"passed","Sun Feb 25 09:08:34 GMT 2024","Sun Feb 25 09:08:37 GMT 2024","2914","tests","UI Functional Tests","TestHomePage","","","Check the Home page is loading",""
"passed","Sun Feb 25 09:09:58 GMT 2024","Sun Feb 25 09:10:13 GMT 2024","15350","tests","Performance Tests","TestPerformance","","","Performance tests for Home page",""
"broken","Sun Feb 25 09:10:16 GMT 2024","Sun Feb 25 09:10:23 GMT 2024","7233","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
"passed","Sun Feb 25 09:08:37 GMT 2024","Sun Feb 25 09:09:58 GMT 2024","80393","tests","UI Functional Tests","TestHomePage","","","Check Footer Links",""
"failed","Sun Feb 25 09:10:38 GMT 2024","Sun Feb 25 09:10:52 GMT 2024","14078","tests","SEO Tests","TestSEO","","","Check if external links have an attribute rel=""nofollow""",""
"passed","Sun Feb 25 09:10:14 GMT 2024","Sun Feb 25 09:10:16 GMT 2024","2094","tests","SEO Tests","TestSEO","","","Check Browser Page Title",""
"passed","Sun Feb 25 09:10:27 GMT 2024","Sun Feb 25 09:10:29 GMT 2024","2495","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
