"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 29 09:07:24 GMT 2024","Thu Feb 29 09:07:27 GMT 2024","2933","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"failed","Thu Feb 29 09:09:27 GMT 2024","Thu Feb 29 09:09:36 GMT 2024","9199","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 09:11:07 GMT 2024","Thu Feb 29 09:11:16 GMT 2024","9235","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 09:09:57 GMT 2024","Thu Feb 29 09:10:07 GMT 2024","9688","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 09:10:57 GMT 2024","Thu Feb 29 09:11:06 GMT 2024","9222","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 09:11:26 GMT 2024","Thu Feb 29 09:13:01 GMT 2024","94887","tests","UI Functional Tests","TestUIHomePage","","","Check Footer Links",""
"failed","Thu Feb 29 09:09:37 GMT 2024","Thu Feb 29 09:09:47 GMT 2024","9597","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"failed","Thu Feb 29 09:10:08 GMT 2024","Thu Feb 29 09:10:16 GMT 2024","8679","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 09:07:27 GMT 2024","Thu Feb 29 09:07:30 GMT 2024","3019","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
"failed","Thu Feb 29 09:07:58 GMT 2024","Thu Feb 29 09:08:08 GMT 2024","9347","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 09:07:16 GMT 2024","Thu Feb 29 09:07:19 GMT 2024","3438","tests","SEO Tests","TestSEO","","","Check Browser Page Title",""
"failed","Thu Feb 29 09:10:27 GMT 2024","Thu Feb 29 09:10:37 GMT 2024","9933","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
"passed","Thu Feb 29 09:07:20 GMT 2024","Thu Feb 29 09:07:23 GMT 2024","3008","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
"passed","Thu Feb 29 09:07:45 GMT 2024","Thu Feb 29 09:07:48 GMT 2024","2986","tests","UI Functional Tests","TestUIHomePage","","","Check the Home page is loading",""
"failed","Thu Feb 29 09:07:40 GMT 2024","Thu Feb 29 09:07:45 GMT 2024","4859","tests","SEO Tests","TestSEO","","","Check if external links have an attribute rel=""nofollow""",""
"failed","Thu Feb 29 09:08:08 GMT 2024","Thu Feb 29 09:08:18 GMT 2024","9369","tests","UI Functional Tests","TestUIHomePage","","","Check Menu ""Prodaja"" Navigation",""
