"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 28 09:00:44 GMT 2024","Wed Feb 28 09:00:48 GMT 2024","4089","tests","SEO Tests","TestSEO","","","Check if external links have an attribute rel=""nofollow""",""
"passed","Wed Feb 28 09:00:26 GMT 2024","Wed Feb 28 09:00:28 GMT 2024","1926","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
"passed","Wed Feb 28 09:00:32 GMT 2024","Wed Feb 28 09:00:35 GMT 2024","2851","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
"failed","Wed Feb 28 09:00:36 GMT 2024","Wed Feb 28 09:00:44 GMT 2024","7988","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
"failed","Wed Feb 28 09:00:23 GMT 2024","Wed Feb 28 09:00:25 GMT 2024","2540","tests","SEO Tests","TestSEO","","","Check Browser Page Title",""
"passed","Wed Feb 28 08:59:18 GMT 2024","Wed Feb 28 09:00:18 GMT 2024","60089","tests","Performance Tests","TestPerformance","","","Performance tests for Home page",""
"failed","Wed Feb 28 08:58:01 GMT 2024","Wed Feb 28 08:58:03 GMT 2024","2403","tests","UI Functional Tests","TestHomePage","","","Check the Home page is loading",""
"passed","Wed Feb 28 09:00:29 GMT 2024","Wed Feb 28 09:00:32 GMT 2024","2869","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"passed","Wed Feb 28 08:58:04 GMT 2024","Wed Feb 28 08:59:18 GMT 2024","74264","tests","UI Functional Tests","TestHomePage","","","Check Footer Links",""
