"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Mar 01 11:32:30 GMT 2024","Fri Mar 01 11:32:36 GMT 2024","6458","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu Navigation: ""Novogradnja""",""
"failed","Fri Mar 01 11:24:50 GMT 2024","Fri Mar 01 11:25:00 GMT 2024","9273","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu Navigation: ""Prodaja""",""
"failed","Fri Mar 01 11:33:17 GMT 2024","Fri Mar 01 11:33:23 GMT 2024","6231","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Fri Mar 01 11:27:30 GMT 2024","Fri Mar 01 11:27:37 GMT 2024","7224","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Fri Mar 01 11:25:34 GMT 2024","Fri Mar 01 11:25:42 GMT 2024","7384","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu Navigation: ""Prodaja""",""
"passed","Fri Mar 01 11:22:13 GMT 2024","Fri Mar 01 11:23:48 GMT 2024","95141","tests","UI Functional Tests","TestUIHomePage","","","Check Footer Links",""
"passed","Fri Mar 01 11:24:31 GMT 2024","Fri Mar 01 11:24:40 GMT 2024","9336","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu Navigation: ""Prodaja""",""
"failed","Fri Mar 01 11:31:32 GMT 2024","Fri Mar 01 11:31:42 GMT 2024","9429","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Fri Mar 01 11:21:54 GMT 2024","Fri Mar 01 11:21:57 GMT 2024","3816","tests","SEO Tests","TestSEO","","","Check Page Header Tag <h1>",""
"passed","Fri Mar 01 11:21:58 GMT 2024","Fri Mar 01 11:22:02 GMT 2024","3992","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h2>",""
"failed","Fri Mar 01 11:27:55 GMT 2024","Fri Mar 01 11:28:05 GMT 2024","9547","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Fri Mar 01 11:24:23 GMT 2024","Fri Mar 01 11:24:30 GMT 2024","7251","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu Navigation: ""Prodaja""",""
"failed","Fri Mar 01 11:24:40 GMT 2024","Fri Mar 01 11:24:50 GMT 2024","9484","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu Navigation: ""Prodaja""",""
"passed","Fri Mar 01 11:25:10 GMT 2024","Fri Mar 01 11:25:18 GMT 2024","8259","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu Navigation: ""Prodaja""",""
"failed","Fri Mar 01 11:30:29 GMT 2024","Fri Mar 01 11:30:35 GMT 2024","5923","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu Navigation: ""Novogradnja""",""
"failed","Fri Mar 01 11:30:36 GMT 2024","Fri Mar 01 11:30:42 GMT 2024","6155","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu Navigation: ""Novogradnja""",""
"passed","Fri Mar 01 11:22:08 GMT 2024","Fri Mar 01 11:22:12 GMT 2024","3683","tests","UI Functional Tests","TestUIHomePage","","","Check the Home page is loading",""
"skipped","Fri Mar 01 11:22:02 GMT 2024","Fri Mar 01 11:22:02 GMT 2024","0","tests","SEO Tests","TestSEO","","","Check Page Header Tags <h3>",""
"passed","Fri Mar 01 11:21:49 GMT 2024","Fri Mar 01 11:21:53 GMT 2024","3575","tests","SEO Tests","TestSEO","","","Check Meta Tags",""
"passed","Fri Mar 01 11:24:15 GMT 2024","Fri Mar 01 11:24:22 GMT 2024","6736","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu Navigation: ""Prodaja""",""
"failed","Fri Mar 01 11:28:05 GMT 2024","Fri Mar 01 11:28:15 GMT 2024","9408","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu Navigation: ""Izdavanje""",""
"failed","Fri Mar 01 11:31:17 GMT 2024","Fri Mar 01 11:31:25 GMT 2024","7840","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu Navigation: ""Novogradnja""",""
"failed","Fri Mar 01 11:27:45 GMT 2024","Fri Mar 01 11:27:55 GMT 2024","9640","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu Navigation: ""Izdavanje""",""
"passed","Fri Mar 01 11:26:10 GMT 2024","Fri Mar 01 11:26:18 GMT 2024","7258","tests","UI Functional Tests","TestUINavigationMenu","","","Check Menu Navigation: ""Prodaja""",""
